,index,article_title,href,section
38,31,Four ideas damaged by Covid-19,/the_global_observer/2020-06-30/four-ideas-damaged-by-covid-19.html,thematic-the-global-observer
39,32,"Parking lots, coughing and the pandemic",/the_global_observer/2020-06-16/parking-lots-coughing-and-the-pandemic.html,thematic-the-global-observer
40,33,What else is going on?,/the_global_observer/2020-06-04/what-else-is-going-on.html,thematic-the-global-observer
41,34,A personal blog about a global experience,/trans_iberian/2020-04-12/a-personal-blog-about-a-global-experience.html,thematic-trans-iberian-blog
42,35,EL PAÍS launches new application for cellphones,/elpais/2019/10/29/inenglish/1572365393_263969.html,thematic-the-english-edition
43,36,About the EL PAÍS English Edition,/elpais/2013/04/09/inenglish/1365510477_811322.html,thematic-the-english-edition
44,37,Sign up to the EL PAÍS English Edition newsletter,/elpais/2016/03/10/inenglish/1457615417_695902.html,thematic-the-english-edition
45,38,"‘It is easy to blame us for spread of Covid-19, rather than the people in authority’",/society/2020-09-23/it-is-easy-to-blame-us-for-spread-of-covid-19-rather-than-the-people-in-authority.html,thematic-coronavirus
46,39,Spanish Health Ministry finalizing agreement with regions to reduce coronavirus quarantine from 14 to 10 days,/spanish_news/2020-09-22/spanish-health-ministry-finalizing-agreement-with-regions-to-reduce-coronavirus-quarantine-from-14-to-10-days.html,thematic-coronavirus
47,40,"Covid-19 incidence exceeds 1,000 cases per 100,000 inhabitants in 16 areas of Madrid with no new restrictions ",/society/2020-09-22/covid-19-incidence-exceeds-1000-cases-per-100000-inhabitants-in-16-areas-of-madrid-with-no-new-restrictions.html,thematic-coronavirus
48,41,"‘A third of Spaniards would get vaccinated tomorrow, but another third have serious reservations’",/society/2020-09-22/a-third-of-spaniards-would-get-vaccinated-tomorrow-but-another-third-have-serious-reservations.html,thematic-coronavirus
49,42,"Protestors take to the streets to oppose new selective lockdowns in areas of Madrid, calling for regional premier to quit",/society/2020-09-21/protestors-take-to-the-streets-to-oppose-new-selective-lockdowns-in-areas-of-madrid-calling-for-regional-premier-to-quit.html,thematic-coronavirus
50,43,Police will not issue fines in the first 48 hours of Madrid’s new confinement measures,/society/2020-09-21/police-will-not-issue-fines-in-the-first-48-hours-of-madrids-new-confinement-measures.html,thematic-coronavirus
51,44,Madrid announces new restrictions on mobility to curb spike in Covid-19 cases,/society/2020-09-18/madrid-announces-new-restrictions-on-mobility-to-curb-spike-in-covid-19.html,thematic-coronavirus
52,45,The immigrants who built a fruit empire in Spain,/spanish_news/2020-09-18/the-immigrants-who-built-a-fruit-empire-in-spain.html,thematic-features
53,46,How the Spanish Tax Agency followed the trail of Shakira,/economy_and_business/2020-09-04/how-the-spanish-tax-agency-followed-the-trail-of-shakira.html,thematic-features
54,47,¿Qué? S04E10: UK ambassador to Spain Hugh Elliott discusses the coronavirus crisis,/podcasts/que/2020-03-27/que-s04e10-uk-ambassador-to-spain-hugh-elliott-discusses-the-coronavirus-crisis.html,thematic-podcast
55,48,Economic physiotherapy,/opinion/2020-09-14/economic-physiotherapy.html,thematic-opinion
56,49,El Roto,/opinion/2020-09-24/el-roto.html,thematic-opinion
57,50,Rethinking the European spirit,/opinion/2020-09-08/rethinking-the-european-spirit.html,thematic-opinion
